title,rating,genres,votes,synopsis,age_rating,mainLead1,mainLead2,startYear,endYear,writer,director,id,runtimeMinutes,image_url
"Genie, Make a Wish",6.4,"Comedy,Fantasy,Romance",7.7K,"Jinn, a genie who awakens after a thousand years, and Ka-young, his new impassive master.",TV-MA,Kim Woo-bin,Bae Suzy,2025,\N,['Kim Eun-sook'],['Lee Byeong-heon'],tt32409807,\N,"https://m.media-amazon.com/images/M/MV5BOWM4MjQ1M2EtODY4OS00NGQwLTgxYWYtOTA2ODM3MGU0MTgzXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Squid Game,8.0,"Action,Drama,Mystery",723K,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. A tempting prize awaits, but with deadly high stakes.",TV-MA,Lee Jung-jae,Greg Chun,2021,2025,['Hwang Dong-hyuk'],['Hwang Dong-hyuk'],tt10919420,60,"https://m.media-amazon.com/images/M/MV5BYTU3ZDVhNmMtMDVlNC00MDc0LTgwNDMtYWE5MTI2ZGI4YWIwXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
When Life Gives You Tangerines,9.1,"Drama,History,Romance",29K,"In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs, proving love endures across time.",TV-14,IU,IU,2025,2025,"['Im Sang-choon', 'Lim Sang-Chung', 'Kim Won-seok']",['Kim Won-seok'],tt26471411,60,"https://m.media-amazon.com/images/M/MV5BZTBhZTcwNWUtOTZjMi00ZjI2LWEzMzMtNWJkMWQ2ZDA0NTU3XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Typhoon Family,8.1,Drama,296,"CEO Kang Tae Pung runs Typhoon Company, his family business. His father cherished it like family. Since inheriting it after his father's death, he's fought to save it, especially during the 1997 IMF crisis.",,Lee Jun-ho,Minha Kim,2025,\N,['\\N'],['Lee Na-jeong'],tt36856846,60,"https://m.media-amazon.com/images/M/MV5BYzhkZTI0MzctYzZkYS00YzU5LTlhZTEtOWE1NmIyZTAwZGU5XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
The Murky Stream,7.7,"Drama,History",649,Takryu tells the story of a man who was a gangster who would become a legend in Joseon. He was known as a gangster at Han River's Mapo Port and eventually became a Joseon legend because of his body and skills.,TV-MA,Kim Ro-Woon,Shin Ye-eun,\N,\N,['Seong-il Cheon'],['Choo Chang-min'],tt31472425,\N,"https://m.media-amazon.com/images/M/MV5BM2JhYTk5ODMtYTdkNi00ZjQ2LThkNGQtNzYyMmExNTcyN2NlXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
All of Us Are Dead,7.6,"Action,Drama,Fantasy",85K,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out or turn into one of the rabid infected.,TV-MA,Park Ji-hu,Yoon Chan-young,2022,\N,"['Seong-il Cheon', 'Joo Dong-Geun']","['J.Q. Lee', 'Kim Nam-Soo']",tt14169960,60,"https://m.media-amazon.com/images/M/MV5BZDY4ZmZhNzMtNjdkMC00NTE3LWFjYzQtOGE4OTllOGY1NTk5XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Tempest,6.7,"Action,Drama",9.6K,"Munju, an ex-ambassador, and Sanho, a secret agent, investigate an attack that could destabilize the Korean peninsula, unraveling a dangerous conspiracy that jeopardizes regional peace and security.",,Christopher Gorham,Brooke Smith,2025,\N,"['Park Chan-wook', 'Chung Seo-kyung']","['Kim Hee-won', 'Heewon Kim', 'Heo Myung-Haeng']",tt27368147,\N,"https://m.media-amazon.com/images/M/MV5BNGFmYTNkNmUtZmQzMi00ZjkxLWI0NDgtY2ZmZDJiMmEyMDc1XkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
Alchemy of Souls,8.7,"Action,Drama,Fantasy",26K,"Set in a fictional country called Daeho, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.",TV-14,Lee Jae-wook,Hwang Min-hyun,2022,2023,"['Hong Jeong-eun', 'Hong Mi-ran']",['Park Joon-hwa'],tt20859920,80,"https://m.media-amazon.com/images/M/MV5BOGFhNGQzMWUtZWJhNi00NGZiLTg1MjEtMTQzZmU4Njg2MWRhXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Crash Landing on You,8.7,"Adventure,Comedy,Drama",55K,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,TV-14,Hyun Bin,Son Ye-jin,2019,2020,['Park Ji-eun'],"['Kim Hee-won', 'Lee Jung-hyo']",tt10850932,70,"https://m.media-amazon.com/images/M/MV5BZjM3ZGQ4ZTMtOTNjMS00NmJlLTljMWUtNWExMzJhMGJlMWNiXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Kingdom,8.3,"Action,Drama,Horror",61K,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",TV-MA,Ju Ji-hoon,Bae Doona,2019,2020,['Kim Eun-hee'],"['Kim Seong-hun', 'Park In-je']",tt6611916,45,"https://m.media-amazon.com/images/M/MV5BYWQyMDQyYzItYWFhNi00YmViLTkwZTctY2M2NjEyNDJmNGQ5XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Pachinko,8.4,Drama,17K,"Based on the New York Times bestseller, this sweeping saga chronicles the hopes and dreams of a Korean immigrant family across four generations as they leave their homeland in an indomitable quest to survive and thrive.",TV-MA,Lee Min-ho,Jin Ha,2022,\N,"['Soo Hugh', 'Min Jin Lee', 'E.J. Koh', 'Franklin jin Rho', 'Mfoniso Udofia', 'Lauren Yee', 'Karen Chee', 'Haruna Lee', 'Ethan Kuperberg', 'Chang-rae Lee', 'Melissa Park', 'Hansol Jung', 'Matthew J. McCue', 'David Mitchell', 'Christina Yoon']","['Justin Chon', 'Kogonada', 'Arvin Chen', 'Sang-il Lee', 'Leanne Welham']",tt8888462,55,"https://m.media-amazon.com/images/M/MV5BN2QwMTgyZTAtOTM4MS00OGRhLWIzNjQtZmQ3Yzc5NmNiYzhlXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Trigger,7.2,"Action,Crime,Thriller",4.2K,"About two men who are trying to solve a mess after firearms are suddenly widely available in South Korea, which used to be a gun-free country, through an unknown source.",TV-MA,Kim Nam-gil,Kim Young-kwang,2025,\N,['Oh-Seung Kwon'],['Oh-Seung Kwon'],tt27898511,\N,"https://m.media-amazon.com/images/M/MV5BMTM3MWRiYWMtZmVkMi00OWE0LWI1M2ItMzE2ODc3YWM3YTU4XkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
Sweet Home,7.2,"Drama,Fantasy,Horror",40K,"A teenage outcast is uprooted from his residence and forced to confront terrifying monsters intent on eradicating humanity. As he battles against impossible odds, he discovers the strength to fight for survival and to protect others.",TV-MA,Song Kang,Lee Jin-wook,2020,2024,"['Kim Hyung-min', 'Kim Kan-bi', 'Park So-Jeong', 'Hong So-ri', 'Park Taehee', 'Hwang Young-Chan']","['Lee Eung-bok', 'Park So-hyun', 'Jang Young-woo', 'Kate Marley']",tt11612120,52,"https://m.media-amazon.com/images/M/MV5BZDE0MTM5YjgtMzNhOS00NWE2LTkxN2EtMzg0NWRmODBmMDA5XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
The Glory,8.2,"Drama,Mystery,Thriller",40K,A woman lives for absolute revenge against her childhood bullies who destroyed her life.,TV-MA,Song Hye-kyo,Lee Do-hyun,2022,2023,['Kim Eun-sook'],['Ahn Gil-ho'],tt21344706,50,"https://m.media-amazon.com/images/M/MV5BODM0ZTc5YTAtZmMxNi00YzJkLWEzODItZDczZTRlNTc1NGE3XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
A Hundred Memories,7.9,"History,Romance",558,"Two female bus attendants in 1980s Korea form a deep friendship while navigating love, dreams, and personal growth. One battles motion sickness to support her family, while the other seeks escape from her troubled past.",,Kim Da-mi,Shin Ye-eun,\N,\N,['Yang Hee Seung'],['Kim Sang-Ho'],tt33475769,\N,"https://m.media-amazon.com/images/M/MV5BZTllMjg0MmYtMmYwNy00MjhhLTgwYzMtNGRmZTcyODYwMGY1XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Bloodhounds,8.1,"Action,Crime,Drama",21K,"In order to pay off their debt, three daring youths jump into the money-lending business while confronting the rich and powerful who prey on the weak.",TV-MA,Lee Sang-yi,Woo Do-Hwan,2023,\N,"['Jeong Chan', 'Joo-hwan Kim']",['Joo-hwan Kim'],tt26315487,60,"https://m.media-amazon.com/images/M/MV5BODc1ODMyNDMtOTU2Yi00NmMyLWJhYzQtODUzMDJkNGVhZDY4XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Business Proposal,8.1,"Comedy,Drama,Romance",38K,"In disguise as her friend, Ha-ri shows up to a blind date to scare him away. But plans go awry when he turns out to be her CEO - and makes a proposal.",TV-14,Ahn Hyo-seop,Kim Sejeong,2022,2022,"['Hong Bo-hee', 'Hae Hwa', 'Han Seol-hee']",['Park Seon-ho'],tt14819828,60,"https://m.media-amazon.com/images/M/MV5BYWM2NTM4MTktNDFiNi00NTI3LThiZTgtZmJiZTQ2NzdhNDE3XkEyXkFqcGc@._V1_QL75_UY266_CR1,0,180,266_.jpg"
Queen of Tears,8.2,"Comedy,Drama,Romance",24K,A miraculous love story of a married couple overcoming a dizzying crisis.,,Kim Soo-hyun,Kim Ji-won,2024,2024,['Park Ji-eun'],"['Kim Hee-won', 'Jang Young-woo']",tt27668559,75,"https://m.media-amazon.com/images/M/MV5BNWNmYmQ2NzctNTA1NS00NGU2LThjOTQtYTgxNmUyYmNjODYyXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Mouse,8.6,"Action,Crime,Mystery",16K,"Jung Ba-Reum is a rookie police officer. He is an honest person and tries to attain justice. After Ba-Reum faces a psychopath murderer, who places the entire nation in fear, his life is totally changed.",,Hyun Bong-sik,Jo Jae-yoon,2021,2021,['Ran Choi'],"['Joon Bae Choi', 'Cheol Woo Kang']",tt13634792,80,"https://m.media-amazon.com/images/M/MV5BMjJkNzA2N2EtMjAxOC00MTY3LTkxZTEtODQxMTI4YjAyZTk2XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
King the Land,5.7,"Comedy,Drama,Romance",140K,"Amid a tense inheritance fight, a charming heir clashes with his hardworking employee who's known for her irresistible smile, which he cannot stand.",TV-14,Lee Jun-ho,Im Yoon-ah,2023,2023,"['Seong-il Cheon', 'Choi Rom']",['\\N'],tt26693803,60,"https://m.media-amazon.com/images/M/MV5BODM2MGU3OTItNTUyZS00ODc2LWJlNzMtOTI5ZTQ4MjljMzI4XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Would You Marry Me?,7.9,,321,"A bride-to-be wins a newlywed house, but after breaking up with her fiance and faced with debt, she finds a fake husband to move in with. They have to fool the house inspector for 90 days, then the dream home is officially hers.",,,,,,['Ha-na Lee'],"['In Hyuk Hwang', 'Hyun Wook Song']",tt38220632,,"https://m.media-amazon.com/images/M/MV5BZDhjOGQ0ZDktNGEyZS00ZWIyLWI2Y2QtNmQ4ZWJjNTU5ZTc2XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
"Bon Appétit, Your Majesty",8.1,,8.9K,"French chef Yeon Ji Yeong wins a top competition but mysteriously lands in Joseon Dynasty, where she must cook fusion royal cuisine for a tyrannical king with an extremely sensitive palate.",TV-14,,,,,"['nm17730232', 'nm17501004']",['Jang Tae Yoo'],tt37600136,,"https://m.media-amazon.com/images/M/MV5BMjUyNDg4YzAtY2Q2Yi00NWMxLThlZmQtOGUxNjE4Y2QwZjRiXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Mercy for None,7.5,"Action,Crime,Thriller",7.6K,"After severing ties with his gang, a former gangster returns to uncover the truth behind his brother's death, embarking on a relentless path of revenge.",TV-MA,So Ji-seob,Huh Joon-ho,2025,\N,"['Oh Se Hyung', 'nm17384002', 'Kyun Tae Kim']",['Choi Sung-eun'],tt29650530,\N,"https://m.media-amazon.com/images/M/MV5BMmY5MzdmYjEtY2RhMS00ZGNkLTliOGEtY2M4NTBmZmU5NDc1XkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
Walking on Thin Ice,8.4,,238,"It depicts the story of an ordinary housewife, Kang Eun Su, who turns to crime by selling drugs worth hundreds of billions of won that she accidentally finds while struggling to pay for her terminally ill husband's medical expenses.",,,,,,['Yeong Sin Jeon'],"['Hyun Wook Song', 'Park Hyun Suk']",tt37841222,,"https://m.media-amazon.com/images/M/MV5BNjY4YTZiNmQtNWQ3OC00NDNiLWI1ODAtZThkY2Y5OTE5Zjc2XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Vincenzo,8.4,"Action,Comedy,Crime",38K,"During a visit to his motherland, a Korean-Italian Mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice.",Not Rated,Song Joong-ki,Song Joong-ki,2021,2021,['Park Jae-beom'],['Kim Hee-won'],tt13433812,80,"https://m.media-amazon.com/images/M/MV5BNjA1YmJiNTMtMDc4OC00ZjlkLTgyMjctYzRmMWJhMmZhMjkyXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Beyond the Bar,7.9,,3.8K,"A young, rookie lawyer with a strong sense of justice joins a top law firm - navigating the complex legal world under a cold, demanding mentor.",TV-MA,,,,,"['Kim Jae Hong', 'Hyun-Mi Park']",['Kim Jae Hong'],tt37660730,,"https://m.media-amazon.com/images/M/MV5BNmQyYTAyOGMtMDcwOS00NDNlLWJhODctNTRlZTM5M2ZlMTgyXkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
My Name,7.8,"Action,Crime,Drama",41K,The story about a woman who joins an organized crime ring and infiltrates the police as an undercover agent in order to find out the truth about her father's death.,TV-MA,Han So-hee,Han So-hee,2021,2021,['Ba-da Kim'],['Jin-min Kim'],tt12940504,50,"https://m.media-amazon.com/images/M/MV5BN2ZiZWU3MzMtNGM5OC00ZWVkLTkxNjUtMTYwZGU4MzgxYzk0XkEyXkFqcGc@._V1_QL75_UY266_CR1,0,180,266_.jpg"
Twinkling Watermelon,8.9,"Comedy,Drama,Fantasy",11K,"""Sparkling Watermelon"" will tell the story of a boy living a double life between a model student and a band member who gets to time slip and meets his 18-year-old father. The two will build friendships there.",,Ryeoun,Seol In-ah,2023,\N,['Jin Su-wan'],['Son Jung-hyun'],tt27446493,70,"https://m.media-amazon.com/images/M/MV5BZGNhMDc0NTgtODc1MS00ZWU5LTgwMWUtYmYzMDZjNDg5ODk1XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Good Boy,7.3,"Action,Comedy,Romance",5.1K,"Olympic medalists join the police force through a special recruitment program, trading medals for badges as they tackle violent crimes and injustices with their athletic skills.",,Park Bo-gum,Kim So-hyun,2025,\N,['Lee Dae II'],"['Jessica Blue', 'Shim Na-yeon']",tt32361930,\N,"https://m.media-amazon.com/images/M/MV5BNjIyMTZkYTItMDMzYy00OTgwLWE1Y2MtNDdlZGZmOTZkMGMzXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Death's Game,8.5,"Drama,Fantasy",21K,"Facing hardships and contemplating suicide after a series of setbacks, a man is confronted by Death and tasked with experiencing death over and over again through 13 other lives to earn the chance to live.",,Seo In-guk,Park So-dam,2023,2024,['Lee Wonsik'],['Ha Byung-hoon'],tt26225038,60,"https://m.media-amazon.com/images/M/MV5BNzU1OTc1YzQtMjAxOS00NjhhLTk2ZmQtM2M2YTU4NTZlYjM4XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Study Group,8.3,"Action,Comedy,Crime",5.5K,"A struggling student at Korea's worst high school forms a study group while protecting his classmates with his fighting skills, hoping to overcome academic challenges and secure a spot in college.",,Hwang Min-hyun,Han Ji-Eun,2025,2025,"['Seungyeon Ryu', 'Hyungwuk Shin', 'Oh Bo-hyun', 'Eom Seon-ho']",['Lee Jang-hoon'],tt35304338,\N,"https://m.media-amazon.com/images/M/MV5BZDJmMDU0MTEtNmZkOS00ZGViLWExYTctYWY5YWQ0NTZlZTdhXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
It's Okay to Not Be Okay,8.6,"Comedy,Drama,Romance",43K,An extraordinary road to emotional healing opens up for an selfish antisocial children's-book writer and a selfless psych-ward caretaker when they cross paths.,TV-MA,Kim Soo-hyun,Seo Ye-ji,2020,2020,['Jo Yong'],['Park Shin-woo'],tt12451520,80,"https://m.media-amazon.com/images/M/MV5BNzZmOWMwNjktNzdkOC00MDcxLWE3YTItNzIwOTRjOGFlYWZlXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Reply 1988,9.0,"Comedy,Drama,Family",17K,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul in 1988, lean on each other to survive their challenging teen years and set a path for their futures.",,Lee Hyeri,Park Bo-gum,2015,2016,['Woo-jung Lee'],['Shin Won-ho'],tt5182866,90,"https://m.media-amazon.com/images/M/MV5BZDBiNDE1NzUtYmU0OS00YmUxLTljODUtOTczNDE3ZGQ0MmYzXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Extraordinary Attorney Woo,8.6,Drama,36K,"Follows the brilliant attorney Woo Young-woo, who tackles challenges in and out of the courtroom as a rookie at a prominent law firm and a woman on the autism spectrum.",TV-14,Park Eun-bin,Kang Tae-oh,2022,2022,['Moon Ji-won'],['Yu In-sik'],tt20869502,75,"https://m.media-amazon.com/images/M/MV5BMGM4ZjU4ZWItZWNmYy00ZDZhLThjY2EtMDEyOTk0NjI3YzJiXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Guardian: The Lonely and Great God,8.6,"Comedy,Drama,Fantasy",35K,"In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.",TV-14,Gong Yoo,Kim Go-eun,2016,2017,['Kim Eun-sook'],['Lee Eung-bok'],tt5994364,120,"https://m.media-amazon.com/images/M/MV5BNWIyNTA3MmItNzY5ZS00NmZhLThjMWYtZjIxYzllZWU5YWIzXkEyXkFqcGc@._V1_QL75_UY266_CR2,0,180,266_.jpg"
My Mister,9.0,"Drama,Family",14K,"A man in his 40s withstands the weight of life. A woman in her 20s goes through different experiences, but also withstands the weight of her life. The man and woman get together to help each other.",TV-14,Lee Sun-kyun,IU,2018,2018,['Park Hae Young'],['Kim Won-seok'],tt7923710,70,"https://m.media-amazon.com/images/M/MV5BYmYxMzkxZDgtNjAxMC00OGFiLThiMjgtOTYyY2EyYWFhZTFkXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Twenty Five Twenty One,8.6,"Drama,Romance",20K,"In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life. At 22 and 18, they say each other's names for the first time, at 25 and 21, they fall in love.",TV-14,Kim Tae-ri,Nam Joo-hyuk,2022,2022,['Kwon Do-eun'],"['Jihyeon Jeong', 'Seung Ho Kim']",tt17513352,70,"https://m.media-amazon.com/images/M/MV5BYTdjZWExZmMtZTY0Yy00N2U3LTkyYmYtMGNjZjUyZTM0Njg0XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
True Beauty,7.9,"Comedy,Drama,Romance",22K,"After being bullied and discriminated because of her ugly looks, a high school girl transforms herself into a gorgeous ""goddess"" and quickly rises to fame after mastering the art of makeup via online tutorial videos.",TV-Y,Moon Ga-young,Cha Eun-woo,2020,2021,"['Lee Shi-Eun', 'Yaongyi']",['Sang-hyub Kim'],tt13274038,70,"https://m.media-amazon.com/images/M/MV5BZTFlNWFiNGQtNjA3Zi00ODNmLTgyNWQtODk4ZGQ2OWZjZjAxXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Queen Mantis,7.4,"Crime,Thriller",815,"A cop must work with his mother, the ""Mantis"" - a female serial killer who murdered 5 men decades ago - when copycat killings emerge. He's hated her his whole life.",,Jang Dong-yoon,Kim Bo-ra,2025,2025,['Young-jong Lee'],['Young-Joo Byun'],tt35934396,\N,"https://m.media-amazon.com/images/M/MV5BYjdkZjE3ODAtMDMwZS00OTBmLTlkODUtMDhlOTcwNmMzMWQyXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Nine Puzzles,7.7,"Crime,Drama,Mystery",3.5K,"Jo I-na finds her uncle murdered beside a puzzle piece but can't explain her presence. Ten years later, as a criminal profiler, she investigates murders where victims are found with similar puzzle pieces.",TV-MA,Kim Da-mi,Son Suk-ku,2025,\N,['Lee Eun-Mi'],['Yoon Jong-bin'],tt29927351,\N,"https://m.media-amazon.com/images/M/MV5BOGExZDkxYWUtMzM0NS00OTZiLTkzNzctZmQwZTMyODk1NTJmXkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
You and Everything Else,7.9,"Drama,Romance",1.3K,Two friends linked by warmth and tension grow apart - until one is asked to accompany the other through her final days.,TV-MA,Cecilia Kim,Kim Go-eun,\N,\N,['Hye-jin Song'],['Jo Yeong-Min'],tt31014107,\N,"https://m.media-amazon.com/images/M/MV5BNDFjYThhY2MtZmE4Yy00MjM1LTg0YTItMGMwNjA4MWRmNGI3XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
My Demon,7.6,"Comedy,Drama,Fantasy",18K,"A pitiless demon becomes powerless after getting entangled with an icy heiress, who may hold the key to his lost abilities -- and his heart.",TV-14,Kim Yoo-jung,Song Kang,2023,2024,['Choi Ah-Il'],['Kim Jang-Han'],tt29569035,60,"https://m.media-amazon.com/images/M/MV5BNTg5YmU0OTYtNzIzNy00MzM1LWI0OWEtYzc5ZmRlNmJlODk5XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
My Youth,6.8,,630,"Former child star Sunwoo Hae lives quietly as a novelist after a troubled past. His first love Je Yeon, now a driven entertainment executive, returns after 10 years. Their reunion stirs memories and changes both their lives.",,,,,,['Park Shi-Hyun'],['Sang-Yeob Lee'],tt37436162,,"https://m.media-amazon.com/images/M/MV5BOGU2OGQ3ZWEtNTg0Yi00MzA3LTk1YzQtZDU1ODZiOTE3MTdkXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Big Mouth,7.8,"Action,Crime,Drama",8.7K,Thriller about an unsuccessful lawyer who gets involved in a murder case and is somehow fingered as genius swindler Big Mouse.,TV-14,Lee Jong-suk,Im Yoon-ah,2022,2022,"['Young Chul Jang', 'Kyung Soon Jung']",['Choong Hwan Oh'],tt21195490,60,"https://m.media-amazon.com/images/M/MV5BNWNhNWEzNjMtMDhjMi00MmZlLWIzMjAtNjA1OGRiYjIzOWUxXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Lovely Runner,8.5,"Comedy,Fantasy,Music",13K,"Right after top star Ryoo Seon-jae ends his life, his top fan Im Sol somehow time-travels back to when they were in high school and tries to protect him. A fantasy romance unfolds where people who missed each other in time finally meet.",,Byeon Woo-seok,Byeon Woo-seok,2024,\N,"['Kim Bbang', 'Lee Shi-Eun']","['Boo Sung-chul', 'Kim Tae-Yeong', 'Yoon Jong-ho', 'Kim Tae Yeop']",tt31324295,\N,"https://m.media-amazon.com/images/M/MV5BNjYwM2RkMmUtOGU2OS00ZjdlLWE5Y2UtYzRkMzExYjdhNjVlXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
S Line,6.3,Sci-Fi,2.7K,A young woman with the ability to see mysterious red connections between lovers discovers her secret gift is no longer unique when special glasses granting similar powers appear on the black market.,TV-MA,Lee Da-hee,Lee Soo-hyuk,\N,\N,['Ahn Joo Young'],['Ahn Joo Young'],tt36056620,\N,"https://m.media-amazon.com/images/M/MV5BODVlYjY0YjUtZmVlYS00Y2RiLWIyZmUtODRjNjI3ZmQzMzlkXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Mr. Sunshine,8.7,"Action,Drama,History",13K,A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.,TV-MA,Lee Byung-hun,Kim Tae-ri,2018,2018,['Kim Eun-sook'],"['Lee Eung-bok', 'Jihyeon Jeong', 'Jang Young-woo']",tt7094780,80,"https://m.media-amazon.com/images/M/MV5BODg0NGJjOTAtODQwMC00YTI4LWI2MDUtMzdjODI2ODJmOTU3XkEyXkFqcGc@._V1_QL75_UY266_CR1,0,180,266_.jpg"
Hellbound,6.6,"Crime,Drama,Fantasy",32K,"Unearthly beings deliver bloody condemnations, sending individuals to hell and giving rise to a religious group founded on the idea of divine justice.",TV-MA,Kim Hyun-joo,Aria Song,2021,2024,"['Kyu-Seok Choi', 'Yeon Sang-ho']",['Yeon Sang-ho'],tt12235718,25,"https://m.media-amazon.com/images/M/MV5BMjIwMDBlZjItNzMyMi00NjQwLWEzOTgtNGFmZTA0NThiMDhkXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
ONE: High School Heroes,7.7,"Action,Drama",1.2K,"A model student, once focused solely on grades, faces domestic abuse and school bullying. Joining forces with classmates, he forms ""High School Heroes,"" a group that fights back against bullies on behalf of the victims.",,Kim Joo-ryoung,Lee Jeong-Ha,2025,\N,['\\N'],['Seong-Tae Lee'],tt34622123,\N,"https://m.media-amazon.com/images/M/MV5BMGM2MzE3NmItZmU2OS00Njg0LWFlYWItZGM0NzNkZDRmNmI5XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Moving,8.4,"Action,Adventure,Fantasy",15K,The quiet lives of three high school students with genetic superhuman abilities turn upside down when a mysterious organization starts to hunt them down one by one.,TV-MA,Ryu Seung-ryong,Han Hyo-joo,2023,\N,['Kang Full'],"['Jessica Blue', 'Park In-je', 'Younseo Park']",tt24640580,58,"https://m.media-amazon.com/images/M/MV5BNTg4NTI5NmItNGJjNC00ZmFhLTg0NzctZWQxZjAzYTAyNTQwXkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
Karma,7.6,"Crime,Drama,Thriller",6.4K,"Bound by their harrowing destinies, a physician plagued by nightmares, a man shaken after his world was unexpectedly disrupted and a debtor drowning in private loans become caught in inescapable circumstances.",TV-MA,Park Hae-soo,Shin Min-a,2025,\N,['Il-Hyeong Lee'],['Il-Hyeong Lee'],tt29921070,60,"https://m.media-amazon.com/images/M/MV5BM2MxOWNmOTUtM2U1MS00MmViLTg5NjgtYmM5YmQxOWM0NjRiXkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
Mr. Queen,8.6,"Comedy,Fantasy,Romance",14K,Chaos ensues when a modern-day chef gets trapped in the body of a Joseon-era Queen.,TV-MA,Shin Hye-sun,Shin Hye-sun,2020,2021,"['Choi Ah-Il', 'Park Gye-ok']",['Yoon Sung-shik'],tt13400006,70,"https://m.media-amazon.com/images/M/MV5BZDdhMjRjYTItYmEyMS00MmMwLTk5NTEtZTk4OTY0ZGJlMzE0XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
