title,rating,genres,votes,synopsis,age_rating,mainLead1,mainLead2,startYear,endYear,writer,director,id,runtimeMinutes,image_url
Ruby Ring,6.5,"Drama,Romance",21,"Two sisters- Runa bad Ruby- with very opposite personalities have a car crash and one sister decides to steal the face, life and love of the other sister.",,Hwang Chan-woo,Kim Ri-won,2013,2014,['Soon-Young Hwang'],['Jun San'],tt5839312,30,"https://m.media-amazon.com/images/M/MV5BNjAxNGM0ZDUtMzgwMS00YjFmLThiZjItZGEwYjQ5OWIwYzI5XkEyXkFqcGc@._V1_QL75_UY266_CR110,0,180,266_.jpg"
The Love in Your Eyes,7.0,"Drama,Romance",7,"A bad daughter-in-law appeared in a 30-year-old traditional Gomtang restaurant. The second love of Yeong-i, a single mother who speaks her mind no matter what, and the story of many families.",,Lee Ah-hyeon,Kim Seung-wook,2022,2023,['\\N'],['\\N'],tt32012594,\N,"https://m.media-amazon.com/images/M/MV5BYmZhMWMxYmMtZTZjMC00MjdjLWE5MzQtNDAzNjgxNTdjMjg2XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Thumping Spike,6.5,"Drama,Sport",119,"A volleyball goddess becomes an unwilling coach to a losing high school team after a mishap with their captain. As she clashes with their star player, the team strives to improve while romance blooms.",,Kang Hui,Song Jae-rim,2016,\N,['\\N'],['\\N'],tt6442524,\N,"https://m.media-amazon.com/images/M/MV5BNzhiNjZmNGMtY2ZiZi00MGFmLWFjZDEtNWI0MTg4ZjhhN2YzXkEyXkFqcGc@._V1_QL75_UX180_CR0,1,180,266_.jpg"
Three Bold Siblings,7.3,"Comedy,Drama,Romance",35,The K-eldest-son and K-eldest-daughter meet while sacrificing themselves in search of happiness and love.,TV-14,Gi So-yoo,Jang Hee Jung,2022,2023,['\\N'],['Park Man-yeong'],tt23805334,65,"https://m.media-amazon.com/images/M/MV5BOTljZjkyMWUtYTJkZC00NmU4LThhZmEtODNkMzM2NjYxYWE3XkEyXkFqcGc@._V1_QL75_UY266_CR1,0,180,266_.jpg"
Hangout with Yoo,7.6,"Comedy,Reality-TV",442,"Nation's best MC, Yoo Jae Suk, passes a video camera to other celebrities like a relay. They record what they do on their off days until the battery runs out.",TV-14,Wonstein,So-yoon Hwang,2019,\N,['\\N'],['Tae-ho Kim'],tt15334046,70,"https://m.media-amazon.com/images/M/MV5BNzZjNzdjZjctYmRiNy00YTcwLWI4ZWYtOTAxY2UwMmQ0ZWYzXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Geuraendeu Syaining Hotel,6.0,"Fantasy,Mystery",24,A fantasy story about a man who accidentally gets drawn into a fictional world inside of a horror novel.,,Lee Ji-hoon,Jung In-sun,2024,2024,['\\N'],['Myung Hyun-woo'],tt31840562,35,"https://m.media-amazon.com/images/M/MV5BMDBlNDQ5NWYtYmRlOC00NzA2LWIyYzYtMmFkYjhkZDU3MDc4XkEyXkFqcGc@._V1_QL75_UY266_CR43,0,180,266_.jpg"
What's Up?,7.9,"Comedy,Drama,Music",69,"Six young adults end up together in the musical department of Haneul Arts University and find themselves under the guidance of unconventional professor. With each passing day, they get a chance to learn what it is to be a 'star'.",,Lim Ju-hwan,Lim Ju-eun,2011,2012,['Ji Na Song'],['Ji Won Song'],tt3216270,50,"https://m.media-amazon.com/images/M/MV5BYjlkZDE3YTQtNjc0Mi00NGNjLTgwZmYtNzMyMWJjMDUwNDEyXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Budding Romance,,,,,,,,,,['\\N'],['Hwang Kyung-Sung'],tt37601824,,"https://m.media-amazon.com/images/M/MV5BYzM2NjdhZjYtMmY0OC00YzFjLWJjNjktYzE1ZjU5OWM5NWM3XkEyXkFqcGc@._V1_QL75_UY266_CR0,0,180,266_.jpg"
Road,,,,"Follows two detectives, Kang Cheong Do and Inose, as they track a series of gruesome cross-border murders, characterized by twisted bodies and mysterious dying messages. The story begins in Tokyo, when a disfigured body is found with a blood-inked message written in Korean. Soon after, a similar case emerges in Korea, this time written in Japanese. As the pattern continues, the authorities realize they are dealing with a serial killer operating across countries, prompting a joint investigation that takes the detectives from Seoul to Tokyo and beyond.",,,,,,"['nm17686985', 'nm17686986', 'nm17686987']",['Han Jun-hee'],tt38336631,,
Let's Look at the Sunset Holding Hands,4.1,Drama,23,A married couple faces a crisis involving death. They look back at their past together and recognize the importance of love between them and their family.,,Han Hye-jin,Yoon Sang-Hyun,2018,2018,['Jung Ha-Yeon'],['Jung Ji-in'],tt8067818,\N,"https://m.media-amazon.com/images/M/MV5BNzE3Njk3MTQtMTNmZC00ZGVmLWE0ZTYtZTU4ODk5ZWNjYzdjXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
